,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,ring,ring,ring,ring,ring,,,,,,,,,,,,,,,,
1,ring,ring,ring,ring,ring,,,,,,,,,,,,,,,,
2,ring,ring,bracelet,,,,,,,,,,,,,,,,,,
3,bracelet,pixiu,ring,pixiu,ring,ring,,,,,,,,,,,,,,,
4,ring,ring,ring,ring,,,,,,,,,,,,,,,,,
5,ring,ring,ring,ring,,,,,,,,,,,,,,,,,
6,ring,ring,,,,,,,,,,,,,,,,,,,
7,ring,ring,,,,,,,,,,,,,,,,,,,
8,ring,bracelet,ring,,,,,,,,,,,,,,,,,,
9,pixiu,pixiu,,,,,,,,,,,,,,,,,,,
10,bracelet,pixiu,,,,,,,,,,,,,,,,,,,
11,bracelet,pixiu,,,,,,,,,,,,,,,,,,,
12,pixiu,ring,pixiu,,,,,,,,,,,,,,,,,,
13,ring,ring,,,,,,,,,,,,,,,,,,,
14,pixiu,pixiu,,,,,,,,,,,,,,,,,,,
15,ring,ring,ring,,,,,,,,,,,,,,,,,,
16,pixiu,ring,pixiu,,,,,,,,,,,,,,,,,,
17,ring,ring,,,,,,,,,,,,,,,,,,,
18,ring,ring,,,,,,,,,,,,,,,,,,,
19,ring,ring,,,,,,,,,,,,,,,,,,,
20,ring,ring,,,,,,,,,,,,,,,,,,,
21,ring,ring,,,,,,,,,,,,,,,,,,,
22,ring,ring,ring,,,,,,,,,,,,,,,,,,
23,ring,ring,ring,,,,,,,,,,,,,,,,,,
24,ring,ring,,,,,,,,,,,,,,,,,,,
25,ring,ring,,,,,,,,,,,,,,,,,,,
26,ring,ring,,,,,,,,,,,,,,,,,,,
27,ring,ring,,,,,,,,,,,,,,,,,,,
28,ring,ring,,,,,,,,,,,,,,,,,,,
29,ring,necklace,,,,,,,,,,,,,,,,,,,
30,ring,ring,,,,,,,,,,,,,,,,,,,
31,ring,ring,,,,,,,,,,,,,,,,,,,
32,bracelet,ring,ring,ring,,,,,,,,,,,,,,,,,
33,bracelet,earring,ring,,,,,,,,,,,,,,,,,,
34,solitaire,necklace,,,,,,,,,,,,,,,,,,,
35,bracelet,bracelet,,,,,,,,,,,,,,,,,,,
36,solitaire,necklace,,,,,,,,,,,,,,,,,,,
37,earring,ring,,,,,,,,,,,,,,,,,,,
38,earring,ring,necklace,necklace,,,,,,,,,,,,,,,,,
39,bracelet,bracelet,bracelet,bracelet,,,,,,,,,,,,,,,,,
40,necklace,solitaire,,,,,,,,,,,,,,,,,,,
41,bag charm,charm,,,,,,,,,,,,,,,,,,,
42,solitaire,pendant,,,,,,,,,,,,,,,,,,,
43,kit,solitaire,,,,,,,,,,,,,,,,,,,
44,bag charm,charm,,,,,,,,,,,,,,,,,,,
45,earring,ring,earring,ring,,,,,,,,,,,,,,,,,
46,ring,tower,,,,,,,,,,,,,,,,,,,
47,bag charm,charm,,,,,,,,,,,,,,,,,,,
48,bag charm,charm,necklace,necklace,,,,,,,,,,,,,,,,,
49,earring,ring,earring,ring,earring,ring,,,,,,,,,,,,,,,
50,pointer,pointer,,,,,,,,,,,,,,,,,,,
51,bracelet,bracelet,necklace,,,,,,,,,,,,,,,,,,
52,ring,earring,ring,,,,,,,,,,,,,,,,,,
53,ring,ring,,,,,,,,,,,,,,,,,,,
54,solitaire,solitaire,,,,,,,,,,,,,,,,,,,
55,bracelet,bracelet,bracelet,,,,,,,,,,,,,,,,,,
56,bracelet,bracelet,,,,,,,,,,,,,,,,,,,
57,necklace,pendant,kit,,,,,,,,,,,,,,,,,,
58,ring,ring,bracelet,,,,,,,,,,,,,,,,,,
59,ring,ring,necklace,pendant,,,,,,,,,,,,,,,,,
60,bracelet,pendant,,,,,,,,,,,,,,,,,,,
61,ring,ring,ring,ring,pendant,,,,,,,,,,,,,,,,
62,ring,ring,ring,,,,,,,,,,,,,,,,,,
63,ring,bracelet,,,,,,,,,,,,,,,,,,,
64,bracelet,bracelet,,,,,,,,,,,,,,,,,,,
65,bracelet,bracelet,necklace,tower,,,,,,,,,,,,,,,,,
66,bracelet,bracelet,bracelet,,,,,,,,,,,,,,,,,,
67,ring,ring,ring,bracelet,,,,,,,,,,,,,,,,,
68,ring,bracelet,,,,,,,,,,,,,,,,,,,
69,bracelet,necklace,,,,,,,,,,,,,,,,,,,
